Title,sku,size,product_url,price,express price
Dunk Low Black White,CW1590-100,47.0,https://en.wethenew.com/products/nike-dunk-low-black-white,_,225.0
Dunk Low Black White,CW1590-100,47.5,https://en.wethenew.com/products/nike-dunk-low-black-white,_,220.0
Air Jordan 4 Military Black,408452-111,35.5,https://en.wethenew.com/products/air-jordan-4-military-black,_,390.0
Air Jordan 4 Military Black,408452-111,36.0,https://en.wethenew.com/products/air-jordan-4-military-black,460.0,525.0
Air Jordan 4 Military Black,408452-111,36.5,https://en.wethenew.com/products/air-jordan-4-military-black,490.0,515.0
Air Jordan 4 Military Black,408452-111,37.5,https://en.wethenew.com/products/air-jordan-4-military-black,_,525.0
Air Jordan 4 Military Black,408452-111,38.0,https://en.wethenew.com/products/air-jordan-4-military-black,535.0,540.0
Air Jordan 4 Military Black,408452-111,38.5,https://en.wethenew.com/products/air-jordan-4-military-black,_,520.0
Air Jordan 4 Military Black,408452-111,39.0,https://en.wethenew.com/products/air-jordan-4-military-black,540.0,625.0
Air Jordan 4 Military Black,408452-111,40.0,https://en.wethenew.com/products/air-jordan-4-military-black,_,525.0
Air Jordan 4 Military Black,408452-111,40.5,https://en.wethenew.com/products/air-jordan-4-military-black,550.0,560.0
Air Jordan 4 Military Black,408452-111,41.0,https://en.wethenew.com/products/air-jordan-4-military-black,500.0,525.0
Air Jordan 4 Military Black,408452-111,42.0,https://en.wethenew.com/products/air-jordan-4-military-black,500.0,560.0
Air Jordan 4 Military Black,408452-111,42.5,https://en.wethenew.com/products/air-jordan-4-military-black,500.0,510.0
Air Jordan 4 Military Black,408452-111,43.0,https://en.wethenew.com/products/air-jordan-4-military-black,510.0,525.0
Air Jordan 4 Military Black,408452-111,44.0,https://en.wethenew.com/products/air-jordan-4-military-black,515.0,550.0
Air Jordan 4 Military Black,408452-111,44.5,https://en.wethenew.com/products/air-jordan-4-military-black,_,505.0
Air Jordan 4 Military Black,408452-111,45.0,https://en.wethenew.com/products/air-jordan-4-military-black,520.0,555.0
Air Jordan 4 Military Black,408452-111,45.5,https://en.wethenew.com/products/air-jordan-4-military-black,_,515.0
Air Jordan 4 Military Black,408452-111,46.0,https://en.wethenew.com/products/air-jordan-4-military-black,_,515.0
Air Jordan 4 Military Black,408452-111,47.0,https://en.wethenew.com/products/air-jordan-4-military-black,_,500.0
Air Jordan 4 Military Black,408452-111,47.5,https://en.wethenew.com/products/air-jordan-4-military-black,480.0,510.0
Air Jordan 4 Military Black,408452-111,48.5,https://en.wethenew.com/products/air-jordan-4-military-black,480.0,525.0
Air Jordan 4 Military Black,408452-111,49.5,https://en.wethenew.com/products/air-jordan-4-military-black,_,420.0
2002R Protection Pack Light Arctic Grey Purple,M2002RDI,36.0,https://en.wethenew.com/products/new-balance-2002r-protection-pack-light-arctic-grey-purple,420.0,465.0
